node_id,node_name,lamp_status,relay_status,energy,power,current,rsl_out,rsl_in,disconnectivity,connectivity,availability,rpl_rank,ipv6,temperature,relative_humidity,ambient_light
1,wn03-2329-0001,OFF,OFF,341978.0,0.0,0.0,-54,-62,0-04:10:30,0-01:02:37,99.59,313,6695,31.27,52.6,261.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,OFF,OFF,341978.0,0.0,0.0,-54,-62,0-04:10:30,0-01:12:48,99.59,313,6695,31.54,51.8,276.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,OFF,OFF,341978.0,0.0,0.0,-55,-61,0-04:10:30,0-01:22:59,99.59,304,6695,31.97,51.1,290.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,OFF,OFF,341978.0,0.0,0.0,-55,-63,0-04:10:30,0-01:33:10,99.59,304,6695,32.41,49.6,305.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,OFF,OFF,341978.0,0.0,0.0,-55,-64,0-04:10:30,0-01:43:22,99.59,298,6695,32.77,48.2,326.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,OFF,OFF,341978.0,0.0,0.0,-55,-61,0-04:10:30,0-01:53:33,99.59,298,6695,33.34,45.4,351.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,OFF,OFF,341978.0,0.0,0.0,-55,-64,0-04:10:30,0-02:03:45,99.59,292,6695,34.26,43.3,364.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,OFF,OFF,341978.0,0.0,0.0,-54,-62,0-04:10:30,0-02:13:56,99.59,292,6695,34.34,39.4,583.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,OFF,OFF,341978.0,0.0,0.0,-54,-65,0-04:10:30,0-02:24:07,99.59,287,6695,34.77,35.3,649.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,OFF,OFF,341978.0,0.0,0.0,-55,-62,0-04:10:30,0-02:34:18,99.59,287,6695,35.35,35.6,694.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,OFF,OFF,341978.0,0.0,0.0,-56,-64,0-04:10:30,0-02:44:29,99.59,283,6695,36.22,33.1,646.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,OFF,OFF,341978.0,0.0,0.0,-56,-64,0-04:24:13,0-00:09:51,99.57,256,6695,37.18,31.6,626.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,OFF,OFF,341978.0,0.0,0.0,-56,-61,0-04:24:13,0-00:20:02,99.57,256,6695,37.16,31.2,665.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,OFF,OFF,341978.0,0.0,0.0,-56,-61,0-04:24:13,0-00:30:13,99.57,256,6695,37.81,30.0,741.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,OFF,OFF,341978.0,0.0,0.0,-56,-63,0-04:24:13,0-00:40:24,99.57,256,6695,37.78,28.8,795.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,OFF,OFF,341978.0,0.0,0.0,-57,-62,0-04:24:13,0-00:50:35,99.57,256,6695,38.76,26.7,786.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,OFF,OFF,341978.0,0.0,0.0,-56,-61,0-04:24:13,0-01:00:46,99.57,256,6695,38.74,26.6,806.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
